Treatment,length_bin,mean,median,q025,q975
9.5 cm,37,0.036225642641972956,0.034773798029150746,0.018997043512557262,0.061820566117527835
9.5 cm,38,0.04253196111648599,0.040924265548390695,0.02301037959249154,0.07115148008717083
9.5 cm,39,0.04988495047702166,0.04810046762153142,0.02784577409920365,0.08197073329851343
9.5 cm,40,0.05843824561154585,0.05652075342540013,0.03354153302217747,0.09405892154124192
9.5 cm,41,0.06836050999698205,0.06636393135552004,0.04036304559836096,0.10757066533161505
9.5 cm,42,0.07983405848963751,0.0777500867476984,0.04867550510511579,0.12299912031805707
9.5 cm,43,0.09305217216999483,0.09097375304764263,0.05834012281570516,0.1402679356434736
9.5 cm,44,0.108214735997719,0.10617911523819074,0.06981566480586056,0.1595673682274572
9.5 cm,45,0.1255218303449454,0.12347519170156292,0.08330645540723128,0.1807277090272383
9.5 cm,46,0.14516496580268196,0.14311359986185995,0.09877363325184052,0.203805183059354
9.5 cm,47,0.16731579468812224,0.16548830572202755,0.11715361568948887,0.22977249534312585
9.5 cm,48,0.19211238875095366,0.19053497315216877,0.138251064146384,0.2574522652227407
9.5 cm,49,0.21964355584197062,0.21821756608236753,0.1628607851877056,0.28730730133603405
9.5 cm,50,0.2499321684320998,0.24884519215045142,0.18988098312827478,0.3198376010800554
9.5 cm,51,0.28291904175150623,0.2821147522231432,0.22029116420991468,0.3544280736256455
9.5 cm,52,0.3184494232778494,0.3179640219132869,0.2531282753181596,0.3901593243384289
9.5 cm,53,0.35626448195629107,0.3558228150778415,0.2897222589589298,0.428227743331945
9.5 cm,54,0.39600013612649554,0.3955874788551478,0.3287663236505508,0.46662577418754464
9.5 cm,55,0.4371949904192405,0.4368709732189988,0.369903183019373,0.5060226595265729
9.5 cm,56,0.4793080318992464,0.47943809050864883,0.41310445552886654,0.5456258475441284
9.5 cm,57,0.5217452059145492,0.5223733920135321,0.4576512912505193,0.5852327271475568
9.5 cm,58,0.5638923738034848,0.5642971529718681,0.5016278874563782,0.6247633014584897
9.5 cm,59,0.6051508720899925,0.6052309800297296,0.5445194001403679,0.6637963129104264
9.5 cm,60,0.6449713268253175,0.6450765766705657,0.5866237398571166,0.7004220353600846
9.5 cm,61,0.6828817104942206,0.6830403575311341,0.62769991447885,0.7352011962246268
9.5 cm,62,0.7185067665334982,0.7186224537256767,0.6665853348517975,0.7671537267804053
9.5 cm,63,0.7515775312538007,0.7516167519364745,0.7036014350114999,0.7974639124068196
9.5 cm,64,0.7819313150809208,0.7821099735927712,0.7373359291902504,0.824104803028259
9.5 cm,65,0.8095037856828416,0.8095823249636829,0.768035746087123,0.8490806799504279
9.5 cm,66,0.8343155182225869,0.8344326147559922,0.7966034717886206,0.8713565259390064
9.5 cm,67,0.856455530726639,0.8564029858568605,0.8222132664592984,0.8903694820942583
9.5 cm,68,0.8760640358987833,0.8759690507873366,0.8446389701405892,0.9071349304971646
9.5 cm,69,0.893316105120494,0.8932847997574647,0.8644093593310238,0.9214559024698881
9.5 cm,70,0.9084073346843791,0.9083938448556335,0.8820120950088244,0.9340510677275788
9.5 cm,71,0.921542055508547,0.9215457257505097,0.8975512369343923,0.9448201811295305
9.5 cm,72,0.9329242019513041,0.9330138083541006,0.9111435960269898,0.9539074224593836
9.5 cm,73,0.9427506694705359,0.9428879755672839,0.9229605654497989,0.9615675951134661
9.5 cm,74,0.9512068300141276,0.9514147415970666,0.9331651616225008,0.9680515719865317
9.5 cm,75,0.9584638092058967,0.9587161963648542,0.9420812423073222,0.973414161621925
9.5 cm,76,0.9646771293749004,0.9649814939186514,0.9498480814145406,0.9779310829888167
9.5 cm,77,0.9699863603568885,0.9703102227580864,0.9565937903806192,0.9817434560471134
9.5 cm,78,0.9745154756362678,0.974838693458749,0.9625740372200919,0.9848914599928532
9.5 cm,79,0.9783736713765668,0.9786896189321148,0.9677320396535966,0.9874784416314699
9.5 cm,80,0.9816564622950669,0.9819588268995211,0.9720830623586516,0.9896175623385461
9.5 cm,81,0.9844469172463847,0.9847225987509557,0.9759069702985286,0.9914111511273386
9.5 cm,82,0.986816937465923,0.9870801520368404,0.9792277522366143,0.9929021621432826
9.5 cm,83,0.9888285118900223,0.9890807998527584,0.9820683677069414,0.9941320904963125
9.5 cm,84,0.9905349077941231,0.9907785477158749,0.9845864604213482,0.9951577195367369
9.5 cm,85,0.9919817724487007,0.9922131155477232,0.9867053439166652,0.9960051564092235
9.5 cm,86,0.9932081338786326,0.9934204757842567,0.9885624310674483,0.9967006514425415
9.5 cm,87,0.9942472972938802,0.9944465199532506,0.9901399536780137,0.9972744610981764
9.5 cm,88,0.9951276393240939,0.995312138018231,0.9915188064320937,0.9977601584571564
9.5 cm,89,0.9958733056312333,0.996041637353511,0.9926843609680103,0.9981494041052696
9.5 cm,90,0.9965048194102974,0.9966609257440326,0.9936822051486457,0.9984696118249812
9.5 cm,91,0.9970396091862531,0.9971836045388758,0.9945637330841206,0.9987392757226625
9.5 cm,92,0.9974924645206286,0.9976240674064818,0.9953229564917788,0.9989632487922168
9.5 cm,93,0.9978759280037912,0.9979959750134864,0.9959733082874208,0.999146765111699
9.5 cm,94,0.9982006314054955,0.9983091548292469,0.9965182916690148,0.9992959360437527
9.5 cm,95,0.9984755832092765,0.9985724385549195,0.9970117392476309,0.9994199863061376
9.5 cm,96,0.9987084140482317,0.9987969957342153,0.9974273408723978,0.9995214861975471
9.5 cm,97,0.9989055858445887,0.9989852149772758,0.997785303714783,0.9996058788441665
9.5 cm,98,0.9990725697668259,0.9991436767693134,0.9980968564115431,0.999675886054837
9.5 cm,99,0.9992139974755884,0.9992769415484173,0.998362021531123,0.9997335051479957
9.5 cm,100,0.9993337895432373,0.9993898107540907,0.9985885677574808,0.9997807886216997
10.2 cm,10,5.725959659233173e-4,5.0150975464846e-4,1.7277008757993117e-4,0.0014013010753052284
10.2 cm,11,6.652559603988708e-4,5.850451736068793e-4,2.0563140932258257e-4,0.0016067512559274598
10.2 cm,12,7.729621380475414e-4,6.837430893002179e-4,2.4453488996932667e-4,0.001839995282531944
10.2 cm,13,8.98163659927736e-4,7.976475691146537e-4,2.907156886422389e-4,0.0021119633789700386
10.2 cm,14,0.00104370849517466,9.303127168287306e-4,3.4623671684013297e-4,0.002423049960984468
10.2 cm,15,0.0012129080987115185,0.0010853009958801604,4.1243022428361537e-4,0.0027726618260646998
10.2 cm,16,0.0014096124361103928,0.0012669925431254177,4.909448113645422e-4,0.0031797821043087326
10.2 cm,17,0.001638296952760975,0.0014786442818045533,5.842843387157989e-4,0.003644315791629998
10.2 cm,18,0.0019041633089745915,0.0017255624636483887,6.938458662530008e-4,0.004174715872463759
10.2 cm,19,0.0022132559503378886,0.002013866797746918,8.262923770444843e-4,0.0047809780626606475
10.2 cm,20,0.00257259685256846,0.002351002447088365,9.815874868886751e-4,0.005478862003619286
10.2 cm,21,0.0029903410695702845,0.0027426370789062353,0.001167458870265007,0.006287699912352185
10.2 cm,22,0.0034759560170076614,0.0032027376430351796,0.0013882554198482245,0.007211118813484612
10.2 cm,23,0.004040427732491262,0.0037365864240759186,0.0016468382998015357,0.008254034465479003
10.2 cm,24,0.004696497653218615,0.004359435069072789,0.0019567003877892382,0.00945608200855109
10.2 cm,25,0.005458933721352506,0.005081314727289878,0.002328989565262294,0.010822149582536278
10.2 cm,26,0.006344839835639996,0.005924556739246389,0.00276050144573577,0.012422547722019343
10.2 cm,27,0.00737400777097489,0.006908506347046721,0.0032744603784565685,0.01424774080393102
10.2 cm,28,0.008569315625008796,0.008056948832195461,0.0038956046646326016,0.01630269559720997
10.2 cm,29,0.009957176539706656,0.00938875033061683,0.004634038568354147,0.018654522312559697
10.2 cm,30,0.011568040775020052,0.010942016315518357,0.005510874212903572,0.021333374140847173
10.2 cm,31,0.013436953035660245,0.012751247389640662,0.0065510740141653916,0.02434880123581411
10.2 cm,32,0.015604165081733115,0.01485638589767288,0.007788481032309702,0.0278551087362759
10.2 cm,33,0.01811580085118034,0.017295939884290918,0.009232056878815495,0.031887609960785525
10.2 cm,34,0.021024567292097528,0.020123871619723017,0.010966763229766677,0.03641156658473012
10.2 cm,35,0.02439049849372838,0.023417694257890226,0.013002811351188637,0.041567949705439484
